n,steps,threads,time
16,1000,64,36825
16,1000,128,48054
16,1000,64,34775
16,1000,128,41744
16,1000,64,32853
16,1000,128,43505
16,1000,64,32859
16,1000,128,42273
16,1000,64,33218
16,1000,128,41781
32,1000,64,69650
32,1000,128,83603
32,1000,64,60615
32,1000,128,64369
32,1000,64,52904
32,1000,128,77225
32,1000,64,70585
32,1000,128,79998
32,1000,64,64584
32,1000,128,64874
64,1000,64,66396
64,1000,128,105145
64,1000,64,59179
64,1000,128,105689
64,1000,64,61082
64,1000,128,105935
64,1000,64,59739
64,1000,128,108053
64,1000,64,62530
64,1000,128,107439
128,1000,64,132293
128,1000,128,151993
128,1000,64,114709
128,1000,128,151172
128,1000,64,112437
128,1000,128,151186
128,1000,64,112066
128,1000,128,151210
128,1000,64,112782
128,1000,128,150901
256,1000,64,218107
256,1000,128,297442
256,1000,64,220686
256,1000,128,296684
256,1000,64,220246
256,1000,128,297642
256,1000,64,221348
256,1000,128,296592
256,1000,64,221568
256,1000,128,297436
512,1000,64,431848
512,1000,128,589316
512,1000,64,431567
512,1000,128,589505
512,1000,64,431065
512,1000,128,588845
512,1000,64,428702
512,1000,128,584277
512,1000,64,427834
512,1000,128,584643
1024,1000,64,849498
1024,1000,128,1158577
1024,1000,64,849892
1024,1000,128,1158032
1024,1000,64,851424
1024,1000,128,1167149
1024,1000,64,856140
1024,1000,128,1168004
1024,1000,64,856498
1024,1000,128,1169707
2048,1000,64,2328786
2048,1000,128,2329537
2048,1000,64,2330866
2048,1000,128,2327163
2048,1000,64,2336879
2048,1000,128,2337023
2048,1000,64,2335245
2048,1000,128,2336441
2048,1000,64,2336235
2048,1000,128,2333989
4096,1000,64,6802438
4096,1000,128,9038798
4096,1000,64,6801864
4096,1000,128,9090696
4096,1000,64,6810500
4096,1000,128,9053790
4096,1000,64,6813381
4096,1000,128,9054180
4096,1000,64,6812272
4096,1000,128,9052795
