n,steps,threads,time
16,1000,64,40759
16,1000,128,60016
16,1000,64,45909
16,1000,128,58606
16,1000,64,39866
16,1000,128,59996
16,1000,64,39190
16,1000,128,59200
16,1000,64,41375
16,1000,128,59112
32,1000,64,59034
32,1000,128,108628
32,1000,64,53499
32,1000,128,94631
32,1000,64,40924
32,1000,128,77433
32,1000,64,56731
32,1000,128,103122
32,1000,64,50642
32,1000,128,95845
64,1000,64,75970
64,1000,128,129435
64,1000,64,66994
64,1000,128,111961
64,1000,64,67410
64,1000,128,113459
64,1000,64,66195
64,1000,128,111793
64,1000,64,66414
64,1000,128,112366
128,1000,64,129043
128,1000,128,216872
128,1000,64,126569
128,1000,128,219338
128,1000,64,126750
128,1000,128,219025
128,1000,64,126018
128,1000,128,218251
128,1000,64,126179
128,1000,128,218651
256,1000,64,344556
256,1000,128,427664
256,1000,64,334738
256,1000,128,429504
256,1000,64,326968
256,1000,128,428817
256,1000,64,308016
256,1000,128,429802
256,1000,64,307648
256,1000,128,430043
512,1000,64,552713
512,1000,128,849232
512,1000,64,585135
512,1000,128,849437
512,1000,64,588841
512,1000,128,849684
512,1000,64,554250
512,1000,128,842399
512,1000,64,579511
512,1000,128,842569
1024,1000,64,966649
1024,1000,128,1679436
1024,1000,64,966586
1024,1000,128,1681044
1024,1000,64,966988
1024,1000,128,1687808
1024,1000,64,974105
1024,1000,128,1692384
1024,1000,64,976801
1024,1000,128,1692224
2048,1000,64,1944718
2048,1000,128,3374985
2048,1000,64,1945212
2048,1000,128,3378139
2048,1000,64,2121792
2048,1000,128,3403476
2048,1000,64,1946227
2048,1000,128,3399952
2048,1000,64,1947635
2048,1000,128,3403423
4096,1000,64,6796043
4096,1000,128,6795249
4096,1000,64,6796116
4096,1000,128,6794780
4096,1000,64,6799729
4096,1000,128,6804886
4096,1000,64,6807750
4096,1000,128,6804331
4096,1000,64,6805784
4096,1000,128,6804725
